id,Distance,Start_coordinates,End_coordinates
6576867.0,510.5,"[51.742385, 4.086334]","[51.742461, 4.086537]"
12603245.0,727.2,"[51.746446, 4.087343]","[51.747016, 4.087722]"
7103419.0,502.2,"[51.74521, 4.087256]","[51.746013, 4.08815]"
10356216.0,585.8,"[51.74302, 4.086269]","[51.744448, 4.086634]"
7103442.0,133.6,"[51.747188, 4.086382]","[51.747728, 4.086397]"
5141966.0,2746.3,"[51.756338, 4.063134]","[51.733874, 4.068727]"
3517868.0,1113.1,"[51.744541763328016, 4.083667751401663]","[51.7427390255034, 4.067782117053866]"
4295947.0,402.4,"[51.748732, 4.083156]","[51.74526, 4.08477]"
7624942.0,764.9,"[51.743305, 4.086294]","[51.743255, 4.08644]"
8858296.0,621.1,"[51.74361, 4.086575]","[51.743961, 4.086952]"
9268481.0,1025.9,"[51.748014, 4.106283]","[51.749067, 4.120835]"
10581344.0,768.2,"[51.749, 4.119776]","[51.748399, 4.108706]"
11472006.0,301.3,"[51.755465, 4.104609]","[51.752805, 4.103872]"
6342768.0,814.5,"[51.739969, 4.1214]","[51.746899, 4.120303]"
5065511.0,1907.3,"[51.75546, 4.105545]","[51.753546, 4.126778]"
13050655.0,556.2,"[51.749015, 4.119942]","[51.74857, 4.111903]"
6723535.0,403.7,"[51.749314, 4.153525]","[51.74922, 4.159303]"
21179899.0,57533.5,"[51.749291, 4.144109]","[51.749097, 4.145272]"
5649049.0,338.9,"[51.755012, 4.15721]","[51.754815, 4.152315]"
6670863.0,495.2,"[51.742653, 4.165128]","[51.746819, 4.162607]"
3584247.0,3391.1,"[51.75455566495657, 4.177693175151944]","[51.735388515517116, 4.16901639662683]"
6342692.0,714.0,"[51.743139, 4.164784]","[51.74928, 4.161709]"
5790580.0,857.8,"[51.742065, 4.152678]","[51.749144, 4.150247]"
5255814.0,3146.2,"[51.735616, 4.169019]","[51.754503, 4.177732]"
10191617.0,698.7,"[51.753829, 4.177601]","[51.753811, 4.177816]"
10985542.0,2997.8,"[51.735994, 4.170332]","[51.753802, 4.177901]"
17736148.0,5001.9,"[51.746486, 4.227886]","[51.746503, 4.227863]"
7314290.0,1591.5,"[51.739832, 4.184433]","[51.741626, 4.207294]"
13717594.0,1729.6,"[51.735258, 4.193166]","[51.739876, 4.18409]"
13873162.0,315.2,"[51.734332, 4.238963]","[51.731875, 4.236686]"
12803547.0,1459.8,"[51.738558, 4.244748]","[51.729861, 4.238491]"
10011866.0,7809.6,"[51.741853, 4.242364]","[51.741887, 4.24238]"
21514316.0,2885.9,"[51.743215, 4.322792]","[51.733438, 4.356658]"
12588170.0,2988.9,"[51.733425, 4.35635]","[51.742973, 4.321754]"
5096913.0,1327.6,"[51.737672, 4.367397]","[51.736079, 4.386337]"
16883002.0,550.7,"[51.736072, 4.386252]","[51.74036, 4.38979]"
19021708.0,569.0,"[51.754426, 4.378909]","[51.74936, 4.378349]"
10129042.0,643.4,"[51.751971, 4.392839]","[51.75062, 4.401841]"
7140791.0,1160.3,"[51.7431, 4.382489]","[51.744179, 4.365752]"
7416990.0,1168.3,"[51.744188, 4.365951]","[51.743094, 4.382801]"
11654744.0,1354.2,"[51.738213, 4.365863]","[51.749687, 4.366088]"
13322459.0,936.7,"[51.754663, 4.378439]","[51.755356, 4.365008]"
13971803.0,717.6,"[51.755214, 4.366941]","[51.754733, 4.377122]"
14702591.0,944.6,"[51.741842, 4.414065]","[51.733327, 4.413122]"
14792709.0,967.1,"[51.750407, 4.422317]","[51.74192, 4.419311]"
6779055.0,621.1,"[51.743716, 4.419979]","[51.749165, 4.421917]"
4918199.0,1102.5,"[51.732849, 4.412143]","[51.742333, 4.414192]"
12065155.0,602.7,"[51.746162, 4.440878]","[51.740868, 4.439808]"
14925364.0,583.8,"[51.73983, 4.440077]","[51.744984, 4.441058]"
8414746.0,1853.5,"[51.733439, 4.437616]","[51.732584, 4.413102]"
16426813.0,695.7,"[51.740451, 4.439985]","[51.7466, 4.441348]"
9984037.0,672.0,"[51.751385, 4.423335]","[51.750061, 4.43286]"
10438076.0,1688.9,"[51.745425, 4.441005]","[51.730435, 4.438187]"
